ZONA PORTUARIA               ,SOCIEDAD PORTUARIA,TIPO DE CARGA,EXPORTACION,IMPORTACIÓN,TRANSBORDO,TRANSITO INTERNACIONAL,FLUVIAL,CABOTAJE,MOVILIZACIONES A BORDO,TRANSITORIA,AÑO VIGENCIA,MES VIGENCIA
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,CARBON AL GRANEL,13000,,,,,,,,2019,11
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL LIQUIDO,25614,3000,,,,,,,2018,9
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL SOLIDO DIFER. DE CARBON,,176603,,,,,,,2019,1
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,GRANEL SOLIDO DIFER. DE CARBON,,81585,,,,,,,2021,4
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,GENERAL,,,,,1931,,,,2018,12
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,GENERAL,,46,9,,,,,,2019,5
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GRANEL SOLIDO DIFER. DE CARBON,,207740,,,,905,,,2020,4
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,CONTENEDORES,45105,54700,3,47,,0,,34,2021,2
CARTAGENA,OILTANKING COLOMBIA SA,GRANEL LIQUIDO,,24440,,,,,,,2020,11
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,GENERAL,,20405,,,,,,,2020,3
GUAJIRA,PUERTO BRISA S.A.,CARBON AL GRANEL,125859,,,,,,,,2019,1
CARTAGENA,COREMAR SHOREBASE SA,GENERAL,,1343,,,,,,,2021,4
TURBO,PROMOTORA BANANERA S.A,GENERAL,884,,,,,,,,2021,4
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,CONTENEDORES,40992,67825,,147,,,,0,2019,2
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,CONTENEDORES,,88,,,,,,,2019,7
Z.P. RIO MAGDALENA,PUERTO PIMSA S.A.,GRANEL SOLIDO DIFER. DE CARBON,3109,,,,,,,,2019,2
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,GENERAL,,183,,,,4345,,,2019,11
CIENAGA,AMERICAN PORT COMPANY INC,CARBON AL GRANEL,2119766,,,,,,,,2019,4
GUAJIRA,SOCIEDAD PORTUARIA DE LA PENINSULA S.A.,GENERAL,,1362,,,,,,,2019,5
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,CONTENEDORES,,4236,,21,,5653,,,2018,12
CARTAGENA,ECOPETROL S.A.,GRANEL LIQUIDO,289116,159017,,,,75035,,,2019,5
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,950155,,,,,,,,2021,2
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,CONTENEDORES,61000,98373,284909,,,,,,2018,9
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1984824,,,,,,,,2018,11
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GRANEL LIQUIDO,,3156,,,,,,,2020,2
CARTAGENA,SOCIEDAD PORTUARIA DEXTON S.A.,GRANEL LIQUIDO,2946,2614,,,,,,,2019,12
GUAJIRA,PUERTO BRISA S.A.,CARBON AL GRANEL,58251,,,,,,,,2019,6
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,GRANEL SOLIDO DIFER. DE CARBON,,65420,,,,,,,2019,11
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1459834,,,,,,,,2019,7
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1951061,,,,,,,,2019,5
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1938953,,,,,,,,2019,8
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,CARBON AL GRANEL,32262,,,,,,,,2019,11
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,GENERAL,,111,,,,5063,,,2018,1
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GENERAL,1954,21698,,,,686,,,2019,11
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,GRANEL SOLIDO DIFER. DE CARBON,,76834,,,,,,,2020,8
TURBO,PROMOTORA BANANERA S.A,GENERAL,1276,,,,,,,,2020,12
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,CONTENEDORES,,,,,,7587,,,2019,11
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GRANEL SOLIDO DIFER. DE CARBON,,121731,,,4835,,,,2021,2
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,CARBON AL GRANEL,5551,,,,,,,,2020,12
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1616638,,,,,,,,2018,8
CARTAGENA,PUERTO BUENAVISTA S.A,GENERAL,4002,,,,,645,,,2021,3
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GRANEL LIQUIDO,110195,68118,,,,,,,2020,3
CARTAGENA,PUERTO BUENAVISTA S.A,GRANEL SOLIDO DIFER. DE CARBON,,17826,,,,,,,2019,7
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1840618,,,,,,,,2019,4
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,CONTENEDORES,145194,218427,616452,,,,,,2018,2
CARTAGENA,OILTANKING COLOMBIA SA,GRANEL LIQUIDO,,1092,,,,,,,2020,6
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1616946,,,,,,,,2020,7
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,GENERAL,79,152,862,,,,,,2019,9
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GENERAL,37,135125,,,,,,,2021,5
CARTAGENA,PUERTOS DEL CARIBE SOCIEDAD PORTUARIA S.A.,GRANEL LIQUIDO,,7098,,,,,,,2019,12
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1225181,,,,,,,,2018,2
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1742640,,,,,,,,2018,4
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GRANEL SOLIDO DIFER. DE CARBON,,10475,,,,1883,,,2018,12
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GRANEL SOLIDO DIFER. DE CARBON,,352899,,,,,,,2021,4
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GENERAL,,3103,,,,,,,2019,8
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CARBON AL GRANEL,385826,,,,,,,,2018,5
CARTAGENA,ALGRANEL S.A.,GRANEL LIQUIDO,1155,7344,,,,,,,2018,2
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,GENERAL,,,,,1851,,,,2021,6
TURBO,PROMOTORA BANANERA S.A,CONTENEDORES,6635,,,,,3513,,,2019,11
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GRANEL SOLIDO DIFER. DE CARBON,,53300,,,,,,,2020,4
BARRANCABERMEJA,ECOPETROL S.A.,GRANEL LIQUIDO,,,,,91819,,,,2018,1
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CONTENEDORES,215,163,,,,,,,2020,11
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1022058,,,,,,,,2018,3
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,617734,,,,,,,,2021,3
CARTAGENA,SOCIEDAD PORTUARIA BAVARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,,24130,,,,,,,2018,12
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,GENERAL,59,78,,,,,,,2021,1
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1652819,,,,,,,,2020,4
CARTAGENA,VOPAK COLOMBIA S.A.,GRANEL LIQUIDO,,4701,,,,,,,2018,7
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,CONTENEDORES,93409,119921,304424,,,19539,,,2021,1
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GENERAL,275,11846,2564,,,690,,,2018,12
GUAJIRA,SOCIEDAD PORTUARIA DE LA PENINSULA S.A.,GENERAL,,1592,,,,,,,2020,1
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,GENERAL,,9255,,,,,,,2019,12
Z.P. RIO MAGDALENA,PUERTO PIMSA S.A.,GENERAL,,136,,,,,,,2020,7
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,GENERAL,,,,,,1608,,,2019,9
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,GENERAL,,14034,,,,277,,,2020,5
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,GENERAL,,,,,,5478,,,2021,4
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1420376,,,,,,,,2020,11
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1907601,,,,,,,,2020,3
GUAJIRA,CERREJON ZONA NORTE S.A.,GRANEL LIQUIDO,,26565,,,,,,,2018,5
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1985836,,,,,,,,2019,6
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1693794,,,,,,,,2020,8
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,GENERAL,,10763,,,,208,,,2019,3
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL SOLIDO DIFER. DE CARBON,,104504,,,,,,,2018,2
